Ano;UF;Município;Escola;Rede;Taxa de participação;Participantes;Dados são representativos;Ciências Humanas;Ciências da Natureza;Linguagens e Códigos;Matemática;Redação;Media
2009;SP;São Caetano do Sul;ADVENTISTA SAO CAETANO DO SUL;Todas;50,00%;9;Não;615,3;627,2;553,2;618,2;661,1;615
2009;SP;São Caetano do Sul;ALCINA DANTAS FEIJAO PROFA ESCOLA MUNICIPAL DE ENSINO;Todas;58,91%;152;Sim;574,1;569,2;585,4;556;617;580,34
2009;SP;São Caetano do Sul;ALEXANDRE GRIGOLLI PADRE;Todas;47,06%;32;Não;472,8;444,2;462,3;469,4;584,5;486,64
2009;SP;São Caetano do Sul;ALFREDO BURKART PROFESSOR;Todas;34,92%;44;Não;498,5;488,5;505,2;484,6;561,1;507,58
2009;SP;São Caetano do Sul;ANACLETO CAMPANELLA;Todas;47,62%;30;Não;525;471,8;520,2;472,1;551,7;508,16
2009;SP;São Caetano do Sul;ARBOS COLEGIO UNIDADE MARECHAL DEODORO;Todas;37,50%;3;Não;581,3;567,3;588,7;605,3;641,7;596,86
2009;SP;São Caetano do Sul;ARBOS COLEGIO UNIDADE MARECHAL DEODORO;Todas;23,21%;13;Não;634,7;630,1;605,5;646,3;625;628,32
2009;SP;São Caetano do Sul;ATENEU DE SAO CAETANO DO SUL COLEGIO UNIDADE I;Todas;50,00%;1;Não;564;519;471;820;700;614,8
2009;SP;São Caetano do Sul;ATENEU DE SAO CAETANO DO SUL COLEGIO UNIDADE III;Todas;30,00%;9;Não;598,6;615,6;592,9;611,9;611,1;606,02
2009;SP;São Caetano do Sul;BONIFACIO DE CARVALHO CORONEL;Todas;40,12%;69;Não;492,2;490,8;517,3;493,3;595,8;517,88
2009;SP;São Caetano do Sul;CE;Todas;80,00%;20;Sim;515;530,4;531,4;553,7;590,8;544,26
2009;SP;São Caetano do Sul;CEL JTO A EE IDALINA MACEDO COSTA SODRE DONA;Todas;71,43%;5;Não;539,8;495;547,6;502;730;562,88
2009;SP;São Caetano do Sul;COLEGIO ARBOS UNIDADE MARECHAL DEODORO;Todas;50,00%;2;Não;641;625,5;605,5;609,5;562,5;608,8
2009;SP;São Caetano do Sul;DI THIENE LICEU;Todas;52,78%;19;Sim;533;506,4;528,5;535,6;623,7;545,44
2009;SP;São Caetano do Sul;EDA MANTOANELLI PROFA;Todas;34,78%;24;Não;499,8;520,9;537,8;514,9;617,4;538,16
2009;SP;São Caetano do Sul;EDGAR ALVES DA CUNHA PROFESSOR;Todas;8,82%;6;Não;490,8;447,5;477,8;427,5;658,3;500,38
2009;SP;São Caetano do Sul;EDUARDO GOMES;Todas;54,84%;68;Sim;594,7;605,4;584,3;604,6;675,8;612,96
2009;SP;São Caetano do Sul;EXTERNATO SANTO ANTONIO;Todas;58,82%;10;Sim;642,2;695,3;658,8;616,1;645;651,48
2009;SP;São Caetano do Sul;IDALINA MACEDO COSTA SODRE DONA;Todas;26,05%;68;Não;508,3;512,7;515,5;513,5;597;529,4
2009;SP;São Caetano do Sul;JOANA MOTTA PROFESSORA;Todas;44,44%;24;Não;463,5;488,3;463,2;455,9;496,9;473,56
2009;SP;São Caetano do Sul;JORGE STREET ETEC;Todas;73,16%;139;Sim;607,2;590,4;602,8;601,3;632,4;606,82
2009;SP;São Caetano do Sul;LAURA LOPES;Todas;32,14%;18;Não;470,5;480,6;452,3;477,1;545,6;485,22
2009;SP;São Caetano do Sul;MARIA DA CONCEICAO MOURA BRANCO PROFESSORA;Todas;53,69%;80;Sim;501;503,2;511,2;530,5;594,6;528,1
2009;SP;São Caetano do Sul;MARIA TRUJILO TORLONI;Todas;27,37%;26;Não;498;481;494,7;488,1;584,8;509,32
2009;SP;São Caetano do Sul;OBJETIVO CENTRO EDUCACIONAL UNIDADE DE SAO CAETANO DO SUL;Todas;63,86%;53;Sim;628,8;620,7;612,6;585,1;613,2;612,08
2009;SP;São Caetano do Sul;PUERI DOMUS ESCOLA UNID SAO CAETANO;Todas;29,41%;5;Não;611;550,8;624,6;573,6;670;606
2009;SP;São Caetano do Sul;SAGRADA FAMILIA;Todas;70,00%;14;Sim;634,2;615,3;597,4;613,9;685,7;629,3
2009;SP;São Caetano do Sul;SINGULAR UNIDADE SAO CAETANO;Todas;65,12%;28;Sim;626,4;630,3;617,9;629,1;619,4;624,62
2009;SP;São Caetano do Sul;VICENTE BASTOS PROFESSOR;Todas;57,61%;53;Sim;519,7;534,6;514;520,3;600,5;537,82
2009;SP;São Caetano do Sul;YOLANDA ASCENCIO PROFESSORA;Todas;38,33%;23;Não;530,4;530,9;549,8;528,2;652,2;558,3
2010;SP;São Caetano do Sul;ADVENTISTA SAO CAETANO DO SUL;Todas;72,22%;26;Sim;570,2;508,8;564;535,3;645,2;564,7
2010;SP;São Caetano do Sul;ALCINA DANTAS FEIJAO PROFA ESCOLA MUNICIPAL DE ENSINO;Todas;80,75%;260;Sim;596,3;528;585,5;603,8;658,5;594,42
2010;SP;São Caetano do Sul;ALEXANDRE GRIGOLLI PADRE;Todas;45,71%;32;Não;531,5;465,7;501,9;476,2;624,2;519,9
2010;SP;São Caetano do Sul;ALFREDO BURKART PROFESSOR;Todas;34,09%;45;Não;533,3;460,1;498,8;476,1;565,1;506,68
2010;SP;São Caetano do Sul;ANACLETO CAMPANELLA;Todas;100,00%;1;Não;626;454;601;559;625;573
2010;SP;São Caetano do Sul;ARBOS COLEGIO UNIDADE MARECHAL DEODORO;Todas;66,67%;2;Não;600,5;526,5;595,5;712;650;616,9
2010;SP;São Caetano do Sul;ARBOS COLEGIO UNIDADE MARECHAL DEODORO;Todas;22,92%;11;Não;636,6;550,2;564,6;649,5;620,5;604,28
2010;SP;São Caetano do Sul;ATENEU DE SAO CAETANO DO SUL COLEGIO UNIDADE I;Todas;100,00%;1;Não;604;569;576;593;625;593,4
2010;SP;São Caetano do Sul;ATENEU DE SAO CAETANO DO SUL COLEGIO UNIDADE III;Todas;56,25%;9;Não;586,2;511,1;560,2;603,6;547,2;561,66
2010;SP;São Caetano do Sul;BONIFACIO DE CARVALHO CORONEL;Todas;48,92%;91;Não;535;478,8;518,5;498,9;584,8;523,2
2010;SP;São Caetano do Sul;CE;Todas;81,82%;18;Sim;577,2;513,2;543,2;577,2;581,9;558,54
2010;SP;São Caetano do Sul;CEL JTO A EE IDALINA MACEDO COSTA SODRE DONA;Todas;66,67%;2;Não;501;476,5;540,5;580;525;524,6
2010;SP;São Caetano do Sul;COLEGIO ARBOS UNIDADE MARECHAL DEODORO;Todas;85,71%;12;Sim;652,8;568,9;595;627,8;604,2;609,74
2010;SP;São Caetano do Sul;DI THIENE LICEU;Todas;65,79%;25;Sim;553,6;509;558,2;517,6;564;540,48
2010;SP;São Caetano do Sul;EDA MANTOANELLI PROFA;Todas;40,00%;2;Não;562,5;479,5;520;568,5;537,5;533,6
2010;SP;São Caetano do Sul;EDGAR ALVES DA CUNHA PROFESSOR;Todas;42,11%;32;Não;546,1;482,4;537,6;539,8;654,8;552,14
2010;SP;São Caetano do Sul;EDUARDO GOMES;Todas;73,39%;91;Sim;637;581,7;612,3;665,6;698,1;638,94
2010;SP;São Caetano do Sul;EXTERNATO SANTO ANTONIO;Todas;80,49%;33;Sim;639,7;594,3;602,7;690,7;651,5;635,78
2010;SP;São Caetano do Sul;FENIX SANTA PAULA ESCOLA UNDADE I E II;Todas;47,54%;29;Não;632,2;563,4;589;646,4;682,1;622,62
2010;SP;São Caetano do Sul;IDALINA MACEDO COSTA SODRE DONA;Todas;33,11%;100;Não;535;479,3;533,1;519,9;602,6;533,98
2010;SP;São Caetano do Sul;JOANA MOTTA PROFESSORA;Todas;79,17%;38;Sim;507,4;462,5;492,1;474,5;568,2;500,94
2010;SP;São Caetano do Sul;JORGE STREET ETEC;Todas;80,41%;156;Sim;628,4;568,4;602,8;641;675,3;623,18
2010;SP;São Caetano do Sul;LAURA LOPES;Todas;70,00%;28;Sim;533,1;453,9;500,3;473,5;518,5;495,86
2010;SP;São Caetano do Sul;MARIA DA CONCEICAO MOURA BRANCO PROFESSORA;Todas;59,42%;82;Sim;555,1;498,9;541,9;557,7;606,6;552,04
2010;SP;São Caetano do Sul;MARIA TRUJILO TORLONI;Todas;31,71%;39;Não;543,6;473,4;524,5;504,3;605,2;530,2
2010;SP;São Caetano do Sul;OBJETIVO CENTRO EDUCACIONAL UNIDADE DE SAO CAETANO DO SUL;Todas;71,23%;52;Sim;638,5;588,9;606,9;676,1;674,5;636,98
2010;SP;São Caetano do Sul;PUERI DOMUS ESCOLA UNID SAO CAETANO;Todas;76,47%;13;Sim;557,1;508,9;525,9;550,3;578,9;544,22
2010;SP;São Caetano do Sul;SAGRADA FAMILIA;Todas;30,00%;3;Não;661,7;618;590,3;647,7;733,3;650,2
2010;SP;São Caetano do Sul;SINGULAR UNIDADE SAO CAETANO;Todas;70,89%;56;Sim;639,8;573;608,8;657,8;655;626,88
2010;SP;São Caetano do Sul;VICENTE BASTOS PROFESSOR;Todas;78,83%;108;Sim;554,1;489,2;550,5;552,9;606,3;550,6
2010;SP;São Caetano do Sul;YOLANDA ASCENCIO PROFESSORA;Todas;73,86%;65;Sim;548,4;492,7;546,8;545,7;598,8;546,48
2011;SP;São Caetano do Sul;ADVENTISTA SAO CAETANO DO SUL;Todas;56,25%;18;Sim;483,5;469,7;529,7;553,1;574,4;522,08
2011;SP;São Caetano do Sul;ALCINA DANTAS FEIJAO PROFA ESCOLA MUNICIPAL DE ENSINO;Todas;74,11%;229;Sim;524,3;512,2;580,9;593,8;616,7;565,58
2011;SP;São Caetano do Sul;ALEXANDRE GRIGOLLI PADRE;Todas;43,75%;42;Não;463,5;446,5;512,6;496,3;554;494,58
2011;SP;São Caetano do Sul;ALFREDO BURKART PROFESSOR;Todas;39,88%;67;Não;458,2;444,1;513,8;494,5;519,7;486,06
2011;SP;São Caetano do Sul;ARBOS COLEGIO UNIDADE MARECHAL DEODORO;Todas;70,59%;24;Sim;551,1;558,4;597;683,9;604,2;598,92
2011;SP;São Caetano do Sul;ATENEU DE SAO CAETANO DO SUL COLEGIO UNIDADE III;Todas;80,00%;16;Sim;525,9;532,7;580,3;613;597,5;569,88
2011;SP;São Caetano do Sul;BONIFACIO DE CARVALHO CORONEL;Todas;41,58%;84;Não;471,4;453,3;532,3;514,9;561,7;506,72
2011;SP;São Caetano do Sul;CE;Todas;96,55%;28;Sim;516,9;512,1;566,6;576,8;640,7;562,62
2011;SP;São Caetano do Sul;CEL JTO A EE IDALINA MACEDO COSTA SODRE DONA;Todas;100,00%;2;Não;463,4;377,9;532,5;542,2;470;477,2
2011;SP;São Caetano do Sul;DI THIENE LICEU;Todas;36,59%;15;Não;515,5;498,8;579,5;584,2;573,3;550,26
2011;SP;São Caetano do Sul;EDGAR ALVES DA CUNHA PROFESSOR;Todas;60,76%;48;Sim;458,5;444,8;508,2;504,8;530,4;489,34
2011;SP;São Caetano do Sul;EDUARDO GOMES;Todas;71,54%;93;Sim;559,3;557,4;598;658,9;632,7;601,26
2011;SP;São Caetano do Sul;EXTERNATO SANTO ANTONIO;Todas;78,38%;29;Sim;549,6;542,5;601,4;671,7;577,9;588,62
2011;SP;São Caetano do Sul;FENIX SANTA PAULA ESCOLA UNDADE I E II;Todas;40,00%;22;Não;552,1;551,4;606,1;685,4;670,9;613,18
2011;SP;São Caetano do Sul;IDALINA MACEDO COSTA SODRE DONA;Todas;34,96%;93;Não;485,7;471,9;550;546,7;559,6;522,78
2011;SP;São Caetano do Sul;JOANA MOTTA PROFESSORA;Todas;43,75%;28;Não;443,9;424,2;515;489,9;516;477,8
2011;SP;São Caetano do Sul;JORGE STREET ETEC;Todas;76,00%;152;Sim;558,8;561,6;599,3;657,4;614,7;598,36
2011;SP;São Caetano do Sul;LAURA LOPES;Todas;53,49%;23;Sim;467,8;434,8;539,5;515,6;564,4;504,42
2011;SP;São Caetano do Sul;MARIA DA CONCEICAO MOURA BRANCO PROFESSORA;Todas;69,28%;115;Sim;483;474,5;548;561,2;583,3;530
2011;SP;São Caetano do Sul;MARIA TRUJILO TORLONI;Todas;33,93%;57;Não;469,3;454,8;540,6;509,9;551,2;505,16
2011;SP;São Caetano do Sul;OBJETIVO CENTRO EDUCACIONAL UNIDADE DE SAO CAETANO DO SUL;Todas;79,37%;50;Sim;562,5;574,9;600,7;689,5;616,8;608,88
2011;SP;São Caetano do Sul;PUERI DOMUS ESCOLA UNID SAO CAETANO;Todas;40,91%;9;Não;565,9;541,5;610,3;674,7;622,2;602,92
2011;SP;São Caetano do Sul;SAGRADA FAMILIA;Todas;86,67%;13;Sim;534,7;532,9;594,2;641,1;601,5;580,88
2011;SP;São Caetano do Sul;SINGULAR UNIDADE SAO CAETANO;Todas;73,91%;51;Sim;579,1;575,2;615,9;692,5;619,2;616,38
2011;SP;São Caetano do Sul;VICENTE BASTOS PROFESSOR;Todas;56,67%;51;Sim;492,7;474,9;543,2;559;552,6;524,48
2011;SP;São Caetano do Sul;YOLANDA ASCENCIO PROFESSORA;Todas;69,23%;72;Sim;501,6;489,1;558,6;571,6;563,9;536,96
2012;SP;São Caetano do Sul;ADVENTISTA SAO CAETANO DO SUL;Todas;40,00%;10;Não;568,4;527,9;515,1;571,7;535,6;543,74
2012;SP;São Caetano do Sul;ALCINA DANTAS FEIJAO PROFA ESCOLA MUNICIPAL DE ENSINO;Todas;82,68%;191;Sim;584,8;527,9;555;619,7;566,4;570,76
2012;SP;São Caetano do Sul;ALEXANDRE GRIGOLLI PADRE;Todas;50,00%;62;Sim;514,8;450,7;488,8;497,4;503,9;491,12
2012;SP;São Caetano do Sul;ALFREDO BURKART PROFESSOR;Todas;35,94%;46;Não;498,7;447,7;486;494,2;474,2;480,16
2012;SP;São Caetano do Sul;ARBOS COLEGIO UNIDADE MARECHAL DEODORO;Todas;70,27%;26;Sim;637,5;583,9;581,2;673,5;638,5;622,92
2012;SP;São Caetano do Sul;ATENEU DE SAO CAETANO DO SUL COLEGIO UNIDADE III;Todas;90,00%;18;Sim;587,9;510,7;532,3;603,4;592,2;565,3
2012;SP;São Caetano do Sul;BONIFACIO DE CARVALHO CORONEL;Todas;46,45%;98;Não;506,5;452,3;486,1;475,6;479,6;480,02
2012;SP;São Caetano do Sul;CE;Todas;89,47%;51;Sim;548;493,3;521,5;555,5;541,6;531,98
2012;SP;São Caetano do Sul;CEL JTO A EE IDALINA MACEDO COSTA SODRE DONA;Todas;50,00%;1;Não;474,4;393,8;498,1;597;740;540,66
2012;SP;São Caetano do Sul;DI THIENE LICEU;Todas;55,17%;16;Sim;525,1;458,3;495,5;515,5;501,3;499,14
2012;SP;São Caetano do Sul;EDGAR ALVES DA CUNHA PROFESSOR;Todas;44,71%;38;Não;497,3;430,3;484,3;485,3;499,5;479,34
2012;SP;São Caetano do Sul;EDUARDO GOMES;Todas;81,43%;114;Sim;607,4;568;570,6;670,7;611,8;605,7
2012;SP;São Caetano do Sul;EXTERNATO SANTO ANTONIO;Todas;100,00%;42;Sim;616,5;568,3;576,5;677,7;585,1;604,82
2012;SP;São Caetano do Sul;FENIX SANTA PAULA ESCOLA UNDADE I E II;Todas;49,33%;37;Não;608,5;578,6;567,9;673;629,2;611,44
2012;SP;São Caetano do Sul;IDALINA MACEDO COSTA SODRE DONA;Todas;26,03%;63;Não;529,6;453;503,9;540,1;497,5;504,82
2012;SP;São Caetano do Sul;JOANA MOTTA PROFESSORA;Todas;38,98%;23;Não;497,8;454,3;485;520,9;465,8;484,76
2012;SP;São Caetano do Sul;JORGE STREET ETEC;Todas;85,71%;186;Sim;615,6;566,8;565,9;663,6;605,6;603,5
2012;SP;São Caetano do Sul;LAURA LOPES;Todas;38,30%;18;Não;508,9;422,9;496,7;462,7;517,8;481,8
2012;SP;São Caetano do Sul;MARIA DA CONCEICAO MOURA BRANCO PROFESSORA;Todas;64,75%;90;Sim;528,6;464,5;507,3;522,1;529,2;510,34
2012;SP;São Caetano do Sul;MARIA TRUJILO TORLONI;Todas;31,45%;50;Não;516;442,5;496,8;479,8;526,1;492,24
2012;SP;São Caetano do Sul;OBJETIVO CENTRO EDUCACIONAL UNIDADE DE SAO CAETANO DO SUL;Todas;90,41%;66;Sim;603,4;578;564,8;679,4;629,1;610,94
2012;SP;São Caetano do Sul;SAGRADA FAMILIA;Todas;100,00%;6;Não;614,8;547,8;554,1;628,8;576,7;584,44
2012;SP;São Caetano do Sul;SINGULAR UNIDADE SAO CAETANO;Todas;76,32%;29;Sim;616,5;590,5;581,8;699,4;629;623,44
2012;SP;São Caetano do Sul;VICENTE BASTOS PROFESSOR;Todas;78,99%;94;Sim;526,7;470;503,8;527,6;504,3;506,48
2012;SP;São Caetano do Sul;VILLARE;Todas;95,24%;20;Sim;657,7;618;601,8;720,6;742;668,02
2012;SP;São Caetano do Sul;YOLANDA ASCENCIO PROFESSORA;Todas;76,92%;50;Sim;549,2;486,2;525,8;578,2;542,8;536,44
2013;SP;São Caetano do Sul;ADVENTISTA SAO CAETANO DO SUL;Todas;72,97%;27;Sim;525,8;483,5;518,2;548,7;518,5;518,94
2013;SP;São Caetano do Sul;ALCINA DANTAS FEIJAO PROFA ESCOLA MUNICIPAL DE ENSINO;Todas;91,37%;286;Sim;572;529,9;554,5;598,8;595,9;570,22
2013;SP;São Caetano do Sul;ALEXANDRE GRIGOLLI PADRE;Todas;57,89%;77;Sim;485,7;452,9;475,6;486,5;487,3;477,6
2013;SP;São Caetano do Sul;ARBOS COLEGIO UNIDADE MARECHAL DEODORO;Todas;85,29%;29;Sim;650,1;606,6;598,2;681,3;690,3;645,3
2013;SP;São Caetano do Sul;ATENEU DE SAO CAETANO DO SUL COLEGIO UNIDADE III;Todas;100,00%;19;Sim;568,4;525,1;546,9;592,6;647,4;576,08
2013;SP;São Caetano do Sul;BONIFACIO DE CARVALHO CORONEL;Todas;59,71%;123;Sim;485,7;451,5;480;503;465,4;477,12
2013;SP;São Caetano do Sul;CE;Todas;98,25%;56;Sim;547,6;512,7;535,2;556,7;577,1;545,86
2013;SP;São Caetano do Sul;DI THIENE LICEU;Todas;65,12%;28;Sim;521,7;480,3;518,2;518,7;510;509,78
2013;SP;São Caetano do Sul;EDGAR ALVES DA CUNHA PROFESSOR;Todas;54,72%;58;Sim;500,6;459;488,8;503,5;492,4;488,86
2013;SP;São Caetano do Sul;EDUARDO GOMES;Todas;78,62%;114;Sim;599,3;564;563,5;632,8;654;602,72
2013;SP;São Caetano do Sul;EXTERNATO SANTO ANTONIO;Todas;83,08%;54;Sim;594;580;580,2;629,8;624,1;601,62
2013;SP;São Caetano do Sul;FENIX SANTA PAULA ESCOLA UNDADE I E II;Todas;83,33%;65;Sim;569,4;534,2;550;613,7;579,7;569,4
2013;SP;São Caetano do Sul;IDALINA MACEDO COSTA SODRE DONA;Todas;53,31%;129;Sim;503,3;458,9;498,4;514,9;512,7;497,64
2013;SP;São Caetano do Sul;JOANA MOTTA PROFESSORA;Todas;78,57%;33;Sim;482,4;456,9;483,8;512,2;443;475,66
2013;SP;São Caetano do Sul;JORGE STREET ETEC;Todas;93,02%;200;Sim;588,8;534,6;567,4;633,5;604,2;585,7
