Ano;Regiao;UF;Municipio;Localizacao;Media_Escola;Aprovacao_Ens_Medio
2009;Sudeste;SP;São Caetano do Sul;Total;30.69;83.40
2010;Sudeste;SP;São Caetano do Sul;Total;32.20;81.79
2011;Sudeste;SP;São Caetano do Sul;Total;31.3;80.7
2012;Sudeste;SP;São Caetano do Sul;Total;30.1;80.90
2013;Sudeste;SP;São Caetano do Sul;Total;29.5;82
2014;Sudeste;SP;São Caetano do Sul;Total;29.7;84.6
2015;Sudeste;SP;São Caetano do Sul;Total;29.8;87.5
2016;Sudeste;SP;São Caetano do Sul;Total;30.9;87
2017;Sudeste;SP;São Caetano do Sul;Total;30.9;89.3
2018;Sudeste;SP;São Caetano do Sul;Total;30.3;89.2